,Iteration,Loss,Gap,Local Gap,Acc,F1,Prec,Rec
0,0.0,1.1055735349655151,1.707688331604004,1.707688331604004,0.181640625,0.11060391314140756,0.1104452556075014,0.181640625
1,1.0,0.9700838327407837,1.1449215412139893,0.5930017828941345,0.181640625,0.11060391314140756,0.1104452556075014,0.181640625
2,2.0,0.9483473896980286,0.9746621449788412,0.6351414918899536,0.181640625,0.11060391314140756,0.1104452556075014,0.181640625
3,3.0,0.8496315479278564,0.8551512360572815,0.5076431632041931,0.181640625,0.11060391314140756,0.1104452556075014,0.181640625
4,4.0,0.8817305564880371,0.7871891498565674,0.5423208475112915,0.701171875,0.659528067253045,0.6304760283244681,0.701171875
5,5.0,0.8289545178413391,0.7120420932769775,0.3417854905128479,0.701171875,0.659528067253045,0.6304760283244681,0.701171875
6,6.0,0.8099932074546814,0.6678320339747837,0.4025716781616211,0.701171875,0.659528067253045,0.6304760283244681,0.701171875
7,7.0,0.8136921525001526,0.6623455286026001,0.6391262412071228,0.701171875,0.659528067253045,0.6304760283244681,0.701171875
8,8.0,0.9582251310348511,0.7150275442335341,1.1432113647460938,0.57421875,0.4919160425981943,0.44931849205998214,0.57421875
9,9.0,0.8842242956161499,0.6962179183959961,0.5713156461715698,0.57421875,0.4919160425981943,0.44931849205998214,0.57421875
10,10.0,0.8813666701316833,0.6772557171908292,0.49856501817703247,0.57421875,0.4919160425981943,0.44931849205998214,0.57421875
11,11.0,0.9286702275276184,0.6557579040527344,0.444247841835022,0.57421875,0.4919160425981943,0.44931849205998214,0.57421875
12,12.0,0.8594502210617065,0.6523783757136419,0.6118245124816895,0.693359375,0.6725358316209104,0.751834264688215,0.693359375
13,13.0,0.8093613386154175,0.6557666233607701,0.7442330121994019,0.693359375,0.6725358316209104,0.751834264688215,0.693359375
14,14.0,0.8006319999694824,0.683984375,1.0826021432876587,0.693359375,0.6725358316209104,0.751834264688215,0.693359375
15,15.0,0.7428404092788696,0.6718870997428894,0.5032106041908264,0.693359375,0.6725358316209104,0.751834264688215,0.693359375
16,16.0,0.8169516921043396,0.6546396928675035,0.3788765072822571,0.732421875,0.7192476492517068,0.795050751844798,0.732421875
17,17.0,0.7602141499519348,0.6486174265543619,0.5555422902107239,0.732421875,0.7192476492517068,0.795050751844798,0.732421875
18,18.0,0.846942663192749,0.653439672369706,0.7416608333587646,0.732421875,0.7192476492517068,0.795050751844798,0.732421875
19,19.0,0.6981183290481567,0.6406667232513428,0.4040123522281647,0.732421875,0.7192476492517068,0.795050751844798,0.732421875
20,20.0,0.8312620520591736,0.63178893498012,0.46371740102767944,0.74609375,0.7368097700526843,0.7695555924753098,0.74609375
21,21.0,0.752068042755127,0.6344730637290261,0.6946382522583008,0.74609375,0.7368097700526843,0.7695555924753098,0.74609375
22,22.0,0.7268716096878052,0.6335784248683763,0.6412716507911682,0.74609375,0.7368097700526843,0.7695555924753098,0.74609375
23,23.0,0.7118926644325256,0.6136389176050822,0.1550300121307373,0.74609375,0.7368097700526843,0.7695555924753098,0.74609375
24,24.0,0.7360373735427856,0.5966480636596679,0.19143764674663544,0.740234375,0.6893703942050182,0.6606223113871745,0.740234375
25,25.0,0.8070918917655945,0.5855577542231634,0.5230478644371033,0.740234375,0.6893703942050182,0.6606223113871745,0.740234375
26,26.0,0.6817997097969055,0.5755761817649558,0.31605538725852966,0.740234375,0.6893703942050182,0.6606223113871745,0.740234375
27,27.0,0.7747615575790405,0.5729036331176758,0.5182825326919556,0.740234375,0.6893703942050182,0.6606223113871745,0.740234375
28,28.0,0.9262517690658569,0.5670892123518319,0.4042847156524658,0.63671875,0.5932455574879698,0.7714037596129342,0.63671875
29,29.0,0.920299232006073,0.5798548380533854,0.9500571489334106,0.63671875,0.5932455574879698,0.7714037596129342,0.63671875
30,30.0,0.8447006940841675,0.5792898362682711,0.5638929605484009,0.63671875,0.5932455574879698,0.7714037596129342,0.63671875
31,31.0,0.7562482357025146,0.572569727897644,0.36424720287323,0.63671875,0.5932455574879698,0.7714037596129342,0.63671875
32,32.0,0.8007228970527649,0.5657380421956381,0.3657357692718506,0.716796875,0.7135981433504044,0.771960361734054,0.716796875
33,33.0,0.811961829662323,0.5683652092428768,0.6560531854629517,0.716796875,0.7135981433504044,0.771960361734054,0.716796875
34,34.0,1.0499159097671509,0.5799480983189174,1.1087207794189453,0.716796875,0.7135981433504044,0.771960361734054,0.716796875
35,35.0,0.7357355952262878,0.5692094696892632,0.19335773587226868,0.716796875,0.7135981433504044,0.771960361734054,0.716796875
36,36.0,0.7986264228820801,0.5698840682570999,0.6145392656326294,0.751953125,0.7346557260386537,0.7552705435536307,0.751953125
37,37.0,0.7115716338157654,0.5603020818609941,0.21303610503673553,0.751953125,0.7346557260386537,0.7552705435536307,0.751953125
38,38.0,0.7050716876983643,0.5573983803773538,0.46098044514656067,0.751953125,0.7346557260386537,0.7552705435536307,0.751953125
39,39.0,0.656568706035614,0.551871395111084,0.35543957352638245,0.751953125,0.7346557260386537,0.7552705435536307,0.751953125
40,40.0,0.7993858456611633,0.556086796086009,0.7382785081863403,0.7265625,0.7114289735304147,0.7514240602525849,0.7265625
41,41.0,0.7794401049613953,0.5470868065243676,0.18315087258815765,0.7265625,0.7114289735304147,0.7514240602525849,0.7265625
42,42.0,0.673206627368927,0.5377630632977153,0.14833645522594452,0.7265625,0.7114289735304147,0.7514240602525849,0.7265625
43,43.0,0.758992075920105,0.5320527770302512,0.2918112277984619,0.7265625,0.7114289735304147,0.7514240602525849,0.7265625
