,Iteration,Loss,Gap
0,0.0,1.518871078718722,8.444456100463867
1,1.0,0.6616255155759786,4.035511016845703
2,2.0,0.38134831929658564,2.79819655418396
3,3.0,0.2973533274460405,2.5250754356384277
4,4.0,0.27209955507265565,2.2962052822113037
5,5.0,0.21764748220550595,1.8999391794204712
6,6.0,0.16556581276057497,1.4995864629745483
7,7.0,0.14678649655620735,1.3597596883773804
8,8.0,0.1289715863521772,1.1802258491516113
9,9.0,0.11571422540483732,1.0914368629455566
10,10.0,0.09579585765831883,0.9364265203475952
11,11.0,0.08358898824240062,0.8550693988800049
12,12.0,0.08206181651904022,0.8279218673706055
13,13.0,0.08331489411110399,0.857865035533905
14,14.0,0.07334767870799519,0.7463023662567139
15,15.0,0.0708127790100549,0.7075978517532349
16,16.0,0.07374059099036093,0.709423303604126
17,17.0,0.057926224717653456,0.5849040150642395
18,18.0,0.058485494525251,0.5572066307067871
19,19.0,0.051851544942355644,0.48729798197746277
20,20.0,0.05402621939744329,0.5133677124977112
21,21.0,0.054137228583132024,0.47167620062828064
22,22.0,0.05095397810109111,0.46182215213775635
23,23.0,0.05236035501373529,0.46137741208076477
24,24.0,0.04815379582180223,0.39248156547546387
25,25.0,0.04970632975748026,0.4403667151927948
26,26.0,0.04451849421657546,0.3624095618724823
27,27.0,0.04360716901943363,0.3618333041667938
28,28.0,0.04706408166360582,0.4185132682323456
29,29.0,0.04517223014149388,0.36161893606185913
30,30.0,0.04521546019175179,0.3783821165561676
31,31.0,0.04691143340216829,0.40429675579071045
32,32.0,0.0464644845173881,0.3836416006088257
33,33.0,0.046217349270752904,0.3840203583240509
34,34.0,0.04565429793425032,0.39830106496810913
35,35.0,0.04496825199713887,0.39082393050193787
36,36.0,0.04713005265498589,0.38663211464881897
37,37.0,0.04980071541992474,0.4166419506072998
38,38.0,0.04848710880642791,0.40563738346099854
39,39.0,0.0437745100664932,0.3460461497306824
40,40.0,0.04964959765969502,0.39839667081832886
41,41.0,0.049510263212921624,0.39122989773750305
42,42.0,0.04673044504008175,0.3821401298046112
43,43.0,0.0472997659462282,0.35804983973503113
44,44.0,0.050122782517451135,0.3850457966327667
45,45.0,0.05159774942506688,0.4158678948879242
46,46.0,0.05142458123344301,0.4227903485298157
47,47.0,0.053799745604583504,0.4395938515663147
48,48.0,0.051113380322662355,0.42146772146224976
49,49.0,0.05386775826598267,0.45529404282569885
50,50.0,0.054135350148697504,0.46217086911201477
51,51.0,0.05259535816106894,0.4760945737361908
52,52.0,0.055737256325143106,0.4787473976612091
53,53.0,0.054337495467279104,0.5109513998031616
54,54.0,0.053779313237386515,0.5140062570571899
55,55.0,0.05259644824606083,0.47589144110679626
56,56.0,0.05295972994984043,0.5149019956588745
57,57.0,0.05169021073304239,0.4819480776786804
58,58.0,0.054265282244408415,0.4998179078102112
59,59.0,0.054778981868914875,0.5528528690338135
60,60.0,0.05415547747915854,0.5248794555664062
61,61.0,0.0531935537223297,0.5322194695472717
62,62.0,0.05168398302043603,0.48583510518074036
63,63.0,0.05327082779373614,0.5088528990745544
64,64.0,0.0530649283146363,0.5221527814865112
65,65.0,0.05317879370699379,0.5101916790008545
66,66.0,0.04864903815894804,0.5024586915969849
67,67.0,0.05189668199231645,0.5470836758613586
68,68.0,0.0512013205545453,0.5639911890029907
69,69.0,0.05050937486830764,0.548788845539093
70,70.0,0.049926167124062046,0.5791247487068176
71,71.0,0.04924876929113173,0.5562980771064758
72,72.0,0.04918424735956545,0.5998914241790771
73,73.0,0.048127118919500715,0.5729339122772217
74,74.0,0.04730468370435589,0.5468055009841919
75,75.0,0.045847587806507065,0.6269537210464478
76,76.0,0.04578985121110179,0.6188889741897583
77,77.0,0.045399520460661674,0.5966671109199524
78,78.0,0.04532927050765874,0.6174278855323792
79,79.0,0.04570266434287157,0.6104776859283447
80,80.0,0.04463121417431933,0.6047614216804504
81,81.0,0.045197104672114186,0.6381014585494995
82,82.0,0.04405479928174757,0.603073239326477
83,83.0,0.044217918994086586,0.6263953447341919
84,84.0,0.04376439452671094,0.6360746026039124
85,85.0,0.042691508813308424,0.608757734298706
86,86.0,0.044045226681615354,0.634880781173706
87,87.0,0.04043645487857041,0.5934200882911682
88,88.0,0.041450299101502094,0.5968335270881653
89,89.0,0.03982616532127013,0.588241696357727
90,90.0,0.03942563688311926,0.6079728007316589
91,91.0,0.03857049898031084,0.6090862154960632
92,92.0,0.038181696066410364,0.5960961580276489
93,93.0,0.03806332196996637,0.59647136926651
94,94.0,0.03731772497110951,0.5952681303024292
95,95.0,0.037886063687910254,0.6013521552085876
96,96.0,0.03744882526673534,0.606749951839447
97,97.0,0.03730615280927852,0.6036729216575623
98,98.0,0.036688265615078756,0.5934664607048035
99,99.0,0.03550146808881677,0.5956375598907471
100,100.0,0.03539663820342219,0.597707986831665
101,101.0,0.03504507119576176,0.5951963067054749
102,102.0,0.035895985765718334,0.594726026058197
103,103.0,0.03375298938737208,0.5614548325538635
104,104.0,0.03222864535575872,0.5765690803527832
105,105.0,0.03240917523261573,0.608442485332489
106,106.0,0.032331877311776856,0.5916092991828918
107,107.0,0.031081086518089093,0.5863363742828369
108,108.0,0.031416218337776566,0.5644210577011108
109,109.0,0.03122272400129302,0.5685943961143494
110,110.0,0.029697330991292972,0.5774304866790771
111,111.0,0.029590239020467087,0.5934455990791321
112,112.0,0.028467343977450002,0.5904990434646606
113,113.0,0.02867814944357682,0.5638409852981567
114,114.0,0.027898887525568242,0.5771745443344116
115,115.0,0.027971987183169844,0.5792503952980042
