,Iteration,Loss,Gap,Local Gap
0,0.0,0.1322648525238037,2.095209836959839,2.095209836959839
1,1.0,0.12979836761951447,1.0564665794372559,0.01772385835647583
2,2.0,0.13235516846179962,0.7100362777709961,0.017175734043121338
3,3.0,0.1288154125213623,0.5369222164154053,0.017579922452569008
4,4.0,0.12782081961631775,0.5158913135528564,0.4333045780658722
5,5.0,0.12666229903697968,0.43259720007578534,0.016154658049345016
6,6.0,0.007757090963423252,0.4251995427267892,0.3808136582374573
7,7.0,0.012871638871729374,0.38111066818237305,0.09232765436172485
8,8.0,0.001749493763782084,0.3421965969933404,0.039640165865421295
9,9.0,0.004813136532902718,0.32863597869873046,0.22004356980323792
10,10.0,0.004156379494816065,0.3015120896426114,0.03530445694923401
11,11.0,0.011913521215319633,0.2832559545834859,0.0859689936041832
12,12.0,0.0039596292190253735,0.2715730850513165,0.14658144116401672
13,13.0,0.004461303353309631,0.2545743329184396,0.03489839658141136
14,14.0,0.0019043838838115335,0.23837917645772297,0.014106841757893562
15,15.0,0.00499563105404377,0.22585508227348328,0.039406195282936096
16,16.0,0.0033857207745313644,0.21392337013693416,0.028266489505767822
17,17.0,0.005255979020148516,0.20410874154832628,0.03843250125646591
18,18.0,0.0033807854633778334,0.19374374339455053,0.022242436185479164
19,19.0,0.007501526270061731,0.19827637672424317,0.29243865609169006
20,20.0,0.005820525344461203,0.20155770438058035,0.278917133808136
21,21.0,0.0035369452089071274,0.19548398798162286,0.07132656872272491
22,22.0,0.009030933491885662,0.18934892571490744,0.08072647452354431
23,23.0,0.00572399003431201,0.18319197495778403,0.04235031455755234
24,24.0,0.009057493880391121,0.1780785369873047,0.05595661699771881
25,25.0,0.005575187504291534,0.1743464286510761,0.13210682570934296
26,26.0,0.011189533397555351,0.1707984076605903,0.08153600245714188
27,27.0,0.004385783337056637,0.16596184458051408,0.038782037794589996
28,28.0,0.015409307554364204,0.170954967367238,0.3253680169582367
29,29.0,0.004904754459857941,0.16535135904947917,0.04283493012189865
30,30.0,0.007988935336470604,0.1610930658155872,0.07899869233369827
31,31.0,0.005645515397191048,0.15734215080738068,0.042269811034202576
32,32.0,0.003127597738057375,0.15387936794396603,0.059125881642103195
33,33.0,0.006412622984498739,0.15076338543611414,0.04793579876422882
34,34.0,0.04859934002161026,0.15850823266165598,0.42183294892311096
35,35.0,0.0020432709716260433,0.15415167808532715,0.001893656444735825
36,36.0,0.0015484963078051805,0.15096842276083455,0.03637136518955231
37,37.0,0.0035617086105048656,0.14745044708251953,0.0172853022813797
38,38.0,0.005023834761232138,0.148499880081568,0.18837830424308777
39,39.0,0.0019380832090973854,0.14696218967437744,0.09227251261472702
40,40.0,0.004563776310533285,0.14394993898345204,0.02346000075340271
41,41.0,0.0028469262178987265,0.14088246935889834,0.01813001185655594
42,42.0,0.0023159272968769073,0.13778952665107194,0.009738056920468807
43,43.0,0.0030035164672881365,0.137752197005532,0.14058908820152283
44,44.0,0.003880854928866029,0.13558217154608831,0.04010111093521118
45,45.0,0.0021684609819203615,0.13349009596783182,0.04301365837454796
46,46.0,0.049606770277023315,0.13613877397902469,0.3379684388637543
47,47.0,0.0017535836668685079,0.1342142124970754,0.04950381815433502
48,48.0,0.005085840355604887,0.13500344996549646,0.1765425205230713
49,49.0,0.06049785763025284,0.15404239654541016,1.3367727994918823
50,50.0,0.004571468103677034,0.1516586565503887,0.04587041959166527
51,51.0,0.002893653232604265,0.15088875477130598,0.11162355542182922
52,52.0,0.0023426590487360954,0.14829182174970518,0.03028518706560135
53,53.0,0.003192140953615308,0.14751494372332538,0.10803025960922241
54,54.0,0.006323446985334158,0.14796031605113635,0.25109827518463135
55,55.0,0.0047301240265369415,0.1456634657723563,0.02019001916050911
56,56.0,0.00301124295219779,0.14336512381570382,0.01858420856297016
57,57.0,0.003415862563997507,0.14091570623989763,0.0015613606665283442
58,58.0,0.002766774268820882,0.13857251506740764,0.006879977881908417
59,59.0,0.0028436530847102404,0.13651723861694337,0.016320735216140747
60,60.0,0.003162349108606577,0.13472124005927413,0.026961151510477066
61,61.0,0.002869199262931943,0.13262213430097025,0.00563606433570385
62,62.0,0.0627860277891159,0.13500696515280103,0.34717798233032227
63,63.0,0.004210185259580612,0.13393613696098328,0.06647410988807678
64,64.0,0.002463497454300523,0.1319079619187575,0.004192132968455553
65,65.0,0.0032114803325384855,0.13015325141675543,0.01652681827545166
66,66.0,0.005224430002272129,0.12888625130724551,0.04526417329907417
67,67.0,0.0026470026932656765,0.1281555400175207,0.07919828593730927
68,68.0,0.00230962410569191,0.1264648713927338,0.02066073752939701
69,69.0,0.0035248578060418367,0.12475253513881139,0.009720697067677975
70,70.0,0.001291380263864994,0.12323963810020769,0.02209549769759178
71,71.0,0.0015894268872216344,0.12158675988515218,0.01426874753087759
72,72.0,0.06068360432982445,0.1403161793538969,2.7092862129211426
73,73.0,0.010651782155036926,0.139948355185019,0.11309759318828583
74,74.0,0.004860927350819111,0.13836485544840496,0.03320653364062309
75,75.0,0.002350444672629237,0.1366795489662572,0.01079167053103447
76,76.0,0.0036258373875170946,0.13501123948530716,0.014112965203821659
77,77.0,0.003381705144420266,0.1335282325744629,0.01993110589683056
78,78.0,0.006941705942153931,0.13272136977956264,0.09091214090585709
79,79.0,0.09481285512447357,0.13551955223083495,0.3971082866191864
80,80.0,0.003606660757213831,0.13432434458791473,0.08707283437252045
81,81.0,0.0027608678210526705,0.13360173527787372,0.07761003822088242
82,82.0,0.002618195256218314,0.13260324317288685,0.07392828166484833
