,Test Acc,Test F1,Test Precision,Test Recall
0,0.9637681159420289,0.9659734909873,0.9715539723591254,0.9637681159420289
1,0.9166666666666666,0.9167509556399175,0.9197478991596639,0.9166666666666666
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.9239130434782609,0.923977988812845,0.9281459359662192,0.9239130434782609
5,0.8442028985507246,0.8403264079818326,0.8771095406062598,0.8442028985507246
6,0.7391304347826086,0.7107476242536372,0.8229813664596274,0.7391304347826086
7,0.6739130434782609,0.6422307312252964,0.8067086366319103,0.6739130434782609
8,0.822463768115942,0.8176759261150686,0.8700007919537499,0.822463768115942
9,0.9347826086956522,0.9367478649068324,0.947405329593268,0.9347826086956522
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.9492753623188406,0.9497240323327281,0.9538328320116671,0.9492753623188406
13,0.7971014492753623,0.7611561191881123,0.8432897372451985,0.7971014492753623
14,0.7644927536231884,0.7573443635349006,0.845918131359852,0.7644927536231884
15,0.8007246376811594,0.7959077614894259,0.8609452142060838,0.8007246376811594
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,0.9601449275362319,0.9601591903559136,0.9601988674536905,0.9601449275362319
19,0.9239130434782609,0.9241001220512616,0.9313004648188119,0.9239130434782609
20,0.8260869565217391,0.827496938553624,0.8714250399110982,0.8260869565217391
21,0.7101449275362319,0.7040246768507639,0.8334875115633672,0.7101449275362319
22,0.8369565217391305,0.8312219306858972,0.8757763975155279,0.8369565217391305
23,0.8043478260869565,0.8082716653133535,0.8743161531816873,0.8043478260869565
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.9420289855072463,0.9418671418671419,0.9418160095579451,0.9420289855072463
27,0.9166666666666666,0.9178904220585783,0.9233639654692286,0.9166666666666666
28,0.9166666666666666,0.9184133455167405,0.9310132652876558,0.9166666666666666
29,0.8623188405797102,0.8663301427052083,0.9028760813391754,0.8623188405797102
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,0.9384057971014492,0.939217428536587,0.9431889447433146,0.9384057971014492
33,0.8985507246376812,0.9010574654533199,0.9196973840123963,0.8985507246376812
34,0.9166666666666666,0.9183498462105426,0.9289795545819642,0.9166666666666666
35,0.9384057971014492,0.9393103119563403,0.9445836814257866,0.9384057971014492
36,0.9384057971014492,0.9394185279561168,0.946210990064333,0.9384057971014492
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,0.9239130434782609,0.9252022841085356,0.9321828403223471,0.9239130434782609
40,0.9166666666666666,0.9184133455167405,0.9310132652876558,0.9166666666666666
41,0.8840579710144928,0.8856377644688407,0.910943079185045,0.8840579710144928
42,0.9239130434782609,0.9254498595835391,0.9360148102290585,0.9239130434782609
43,0.9492753623188406,0.9498742536811996,0.953121478476448,0.9492753623188406
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,0.9528985507246377,0.9532056365780922,0.9541943438003222,0.9528985507246377
47,0.9528985507246377,0.9534211335544104,0.956114953886693,0.9528985507246377
48,0.9311594202898551,0.9324422127057673,0.9410584886128366,0.9311594202898551
49,0.8442028985507246,0.848652434203095,0.8938271604938272,0.8442028985507246
