,Iteration,Loss,Gap,Accuracy,F1,Precision,Recall
0,0.0,1.0980656147003174,0.019908571615815163,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
1,1.0,0.49927806854248047,0.014951267279684544,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
2,2.0,0.6674144268035889,0.006098342593759298,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
3,3.0,0.5371180176734924,0.004966244101524353,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
4,4.0,0.7998142242431641,0.001903722295537591,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
5,5.0,0.575713038444519,0.0036963950842618942,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
6,6.0,0.47758761048316956,0.0024570561945438385,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
7,7.0,0.3052964508533478,0.0016636967193335295,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
8,8.0,0.4170804023742676,0.0027354368939995766,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
9,9.0,0.3536899983882904,0.0009435558458790183,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
10,10.0,0.3929804861545563,0.0010105444816872478,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
11,11.0,0.3240886926651001,0.0009563929052092135,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
12,12.0,0.32966354489326477,0.0006400721613317728,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
13,13.0,0.4047558903694153,0.0006831876817159355,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
14,14.0,0.2853565216064453,0.0005870785680599511,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
15,15.0,0.3875316381454468,0.0005040368996560574,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
16,16.0,0.3770289421081543,0.0005414248444139957,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
17,17.0,0.27166810631752014,0.0004540627996902913,0.8423913043478262,0.8008824133410422,0.799508180734229,0.8423913043478262
18,18.0,0.2504642605781555,0.0002885876747313887,1.0,1.0,1.0,1.0
19,19.0,0.09725521504878998,0.00012196883471915498,1.0,1.0,1.0,1.0
20,20.0,0.06678970903158188,5.8083347539650276e-05,1.0,1.0,1.0,1.0
21,21.0,0.03556404262781143,3.2014460884965956e-05,1.0,1.0,1.0,1.0
22,22.0,0.04186484217643738,2.5991072106990032e-05,1.0,1.0,1.0,1.0
23,23.0,0.03859804943203926,2.1477768314071e-05,1.0,1.0,1.0,1.0
24,24.0,0.028838492929935455,1.6706644601072185e-05,1.0,1.0,1.0,1.0
25,25.0,0.022076986730098724,1.4158285921439528e-05,1.0,1.0,1.0,1.0
26,26.0,0.018790971487760544,1.3258888429845683e-05,1.0,1.0,1.0,1.0
27,27.0,0.021039670333266258,8.755321687203832e-06,1.0,1.0,1.0,1.0
28,28.0,0.015780067071318626,7.434206509060459e-06,1.0,1.0,1.0,1.0
29,29.0,0.021599870175123215,6.921795375092188e-06,1.0,1.0,1.0,1.0
30,30.0,0.016309477388858795,7.324314992729342e-06,1.0,1.0,1.0,1.0
31,31.0,0.01480940729379654,6.136996034911135e-06,1.0,1.0,1.0,1.0
32,32.0,0.02050737477838993,7.246879704325693e-06,1.0,1.0,1.0,1.0
33,33.0,0.01851932890713215,5.857269115949748e-06,1.0,1.0,1.0,1.0
34,34.0,0.01442598644644022,6.612425295315916e-06,1.0,1.0,1.0,1.0
35,35.0,0.016777072101831436,5.632218744722195e-06,1.0,1.0,1.0,1.0
36,36.0,0.7396349310874939,0.0009628325933590531,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
37,37.0,0.5869929790496826,0.000544331269338727,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
38,38.0,0.48909199237823486,0.00025244412245228887,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
39,39.0,0.30864208936691284,0.0002671646943781525,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
40,40.0,0.3789983093738556,0.00021459248091559857,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
41,41.0,0.352387011051178,0.00019528191478457302,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
42,42.0,0.43171441555023193,0.0001538061333121732,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
43,43.0,0.3611101806163788,0.00017841579392552376,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
44,44.0,0.38158783316612244,0.00013760625733993948,0.7418478260869565,0.637335444945978,0.5657851554295317,0.7418478260869565
45,45.0,0.31536489725112915,0.00018934093532152474,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
46,46.0,0.30694589018821716,0.00022544812236446887,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
47,47.0,0.32579511404037476,0.00018962379544973373,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
48,48.0,0.2884730100631714,0.00017523016140330583,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
49,49.0,0.3158642649650574,0.00019635606440715492,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
50,50.0,0.2992069721221924,0.0001793055998859927,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
51,51.0,0.35558876395225525,0.00017608675989322364,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
52,52.0,0.31824690103530884,0.00015833263751119375,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
53,53.0,0.33270758390426636,0.00014919109526090324,0.888586956521739,0.9202323571466288,0.9667004633923081,0.888586956521739
54,54.0,0.3293449580669403,0.0001527616404928267,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
55,55.0,0.2503982186317444,0.00014636556443292648,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
56,56.0,0.2796032130718231,0.0001161879044957459,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
57,57.0,0.3552107810974121,0.0002728508843574673,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
58,58.0,0.3312576413154602,0.00013523799134418368,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
59,59.0,0.3773721754550934,0.00020042984397150576,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
60,60.0,0.3460874557495117,0.00015423970762640238,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
61,61.0,0.32691049575805664,0.00014562520664185286,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
62,62.0,0.24066267907619476,0.00010273651423631236,0.917572463768116,0.9311792611554637,0.9620730060319043,0.917572463768116
63,63.0,0.2922412157058716,0.0001226984750246629,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
64,64.0,0.29897117614746094,0.00016740859427955002,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
65,65.0,0.31571200489997864,0.00017048235167749226,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
66,66.0,0.29687413573265076,0.0001382117043249309,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
67,67.0,0.714762806892395,0.0001389125973219052,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
68,68.0,0.2867817282676697,0.00010989858856191859,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
69,69.0,0.2754056453704834,0.00011408133286749944,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
70,70.0,0.28148192167282104,0.00011285817890893668,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
71,71.0,0.3010147213935852,0.00012493840768001974,0.858695652173913,0.8980797700400718,0.9625436737878696,0.858695652173913
72,72.0,0.2602221965789795,0.00010035994637291878,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
73,73.0,0.31652331352233887,0.00015882629668340087,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
74,74.0,0.2976803779602051,0.00010116659541381523,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
75,75.0,0.3071739077568054,0.00013394661073107272,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
76,76.0,0.3167726993560791,0.00011488520976854488,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
77,77.0,0.3092905580997467,0.000135354814119637,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
78,78.0,0.29151421785354614,0.00011190937948413193,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
79,79.0,0.28258153796195984,9.333407797385007e-05,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
80,80.0,0.23460502922534943,0.00010088416456710547,0.8677536231884058,0.8418462498009744,0.8353442936868285,0.8677536231884058
81,81.0,0.06802661716938019,1.5198597793641966e-05,1.0,1.0,1.0,1.0
