,Iteration,Loss,Gap,Local Gap
0,0.0,0.6442551016807556,1.7110025882720947,1.7110025882720947
1,1.0,0.19335079193115234,1.465559720993042,1.2201571464538574
2,2.0,0.015428224578499794,1.0124220848083496,0.1128033921122551
3,3.0,0.08059390634298325,0.844825267791748,0.3580807149410248
4,4.0,0.16981877386569977,0.8946852684020996,1.1038672924041748
5,5.0,0.3014102578163147,0.9144258499145508,1.0343456268310547
6,6.0,0.05680922418832779,0.8198922021048409,0.26718658208847046
7,7.0,0.04775390774011612,0.7703920602798462,0.44354110956192017
8,8.0,0.05602061748504639,0.7387515703837076,0.5149523019790649
9,9.0,0.030175719410181046,0.704102611541748,0.4422687590122223
10,10.0,0.014899532310664654,0.6470765200528231,0.07693523168563843
11,11.0,0.05963164567947388,0.637091596921285,0.5272789001464844
12,12.0,0.07507919520139694,0.6362681755652795,0.6381864547729492
13,13.0,0.015609893947839737,0.594052791595459,0.047227893024683
14,14.0,0.07124646008014679,0.5760422388712565,0.3275485932826996
15,15.0,0.12015346437692642,0.5695299506187439,0.5060694217681885
16,16.0,0.024689149111509323,0.543908063103171,0.13923650979995728
17,17.0,0.012556998990476131,0.5262188911437988,0.22909222543239594
18,18.0,0.016429750248789787,0.5029925296181127,0.10380234569311142
19,19.0,0.014125768095254898,0.48225011825561526,0.0889417752623558
20,20.0,0.005358964204788208,0.46060943603515625,0.027796195819973946
21,21.0,0.0197343360632658,0.444321719082919,0.11792246252298355
22,22.0,0.03328019753098488,0.44454549706500507,0.4700694680213928
23,23.0,0.003733081044629216,0.42768315474192303,0.03984971344470978
24,24.0,0.014811502769589424,0.4139577484130859,0.0863846093416214
25,25.0,0.018784886226058006,0.4068028376652644,0.28856176137924194
26,26.0,0.0025935412850230932,0.39326229801884405,0.046856217086315155
27,27.0,0.0026035173796117306,0.38117739132472445,0.05499124154448509
28,28.0,0.0023618072737008333,0.368044820325128,0.008271325379610062
29,29.0,0.024210436269640923,0.35959135691324867,0.124275341629982
30,30.0,0.006987320724874735,0.34910675787156625,0.04699621722102165
31,31.0,0.011059277690947056,0.34027430415153503,0.06935092806816101
32,32.0,0.023688223212957382,0.3328050844597094,0.11603536456823349
33,33.0,0.047917500138282776,0.3284025753245634,0.1865665316581726
34,34.0,0.024719486013054848,0.32280069078717916,0.13308587670326233
35,35.0,0.022928792983293533,0.31577714284261066,0.07256188243627548
36,36.0,0.022129705175757408,0.3088346172023464,0.06154024228453636
37,37.0,0.0350479930639267,0.30902518724140365,0.32975301146507263
38,38.0,0.025469627231359482,0.3051021037957607,0.20980626344680786
39,39.0,0.026770491153001785,0.3017210245132446,0.19455917179584503
40,40.0,0.021475013345479965,0.2970874367690668,0.18162678182125092
41,41.0,0.016603760421276093,0.2905056817190988,0.02065405435860157
42,42.0,0.030446676537394524,0.290266192236612,0.3098922669887543
43,43.0,0.017180582508444786,0.28651952743530273,0.1527288258075714
44,44.0,0.0627472773194313,0.28941864437527126,0.6348285675048828
45,45.0,0.022134440019726753,0.28663498422373895,0.17684340476989746
46,46.0,0.01601693034172058,0.2810165527019095,0.02314865216612816
47,47.0,0.01648038998246193,0.27574002742767334,0.033434052020311356
48,48.0,0.023604895919561386,0.2742931210264868,0.21144601702690125
49,49.0,0.014276077039539814,0.26882139205932615,0.007029498461633921
50,50.0,0.03196537867188454,0.2732095157398897,0.5340222120285034
51,51.0,0.01761384680867195,0.2702382711263803,0.1267104297876358
52,52.0,0.028161678463220596,0.27709212393130894,0.8331384658813477
53,53.0,0.019291086122393608,0.27683704870718495,0.27046841382980347
54,54.0,0.026221316307783127,0.2762209805575284,0.2516046464443207
55,55.0,0.020366694778203964,0.2757688079561506,0.41326016187667847
56,56.0,0.01946888491511345,0.2754251580489309,0.30290457606315613
57,57.0,0.2186668962240219,0.3198715407272865,3.454533576965332
58,58.0,0.044745855033397675,0.32232090578240863,0.66386878490448
59,59.0,0.017775727435946465,0.31799453099568686,0.06419786810874939
60,60.0,0.017880083993077278,0.3147219986212058,0.14225371181964874
61,61.0,0.013731718994677067,0.3105905286727413,0.07019292563199997
62,62.0,0.0394929014146328,0.3091781252906436,0.5993016362190247
63,63.0,0.014427805319428444,0.30487290024757385,0.033751923590898514
64,64.0,0.029988376423716545,0.3032651754525992,0.3877667486667633
65,65.0,0.01314051914960146,0.29987340984922467,0.09555496275424957
66,66.0,0.03444463387131691,0.3002151375386252,0.3417615592479706
67,67.0,0.024750487878918648,0.29959841335521026,0.2714118957519531
68,68.0,0.016101503744721413,0.2964612712030825,0.18141460418701172
69,69.0,0.012871284037828445,0.29285390036446707,0.044056836515665054
70,70.0,0.022526424378156662,0.29178342684893543,0.21687327325344086
71,71.0,0.011990652419626713,0.2891102102067735,0.11829603463411331
72,72.0,0.00542102986946702,0.2879537817550032,0.20556047558784485
73,73.0,0.032266952097415924,0.28989193890545817,0.6378183960914612
74,74.0,0.005543169099837542,0.28849629720052083,0.22097109258174896
75,75.0,0.005691953003406525,0.28750153591758326,0.2240460216999054
76,76.0,0.013668876141309738,0.2865730384727577,0.26204511523246765
77,77.0,0.002452726010233164,0.2833214295216096,0.03996270149946213
78,78.0,0.0032756885048002005,0.28096831599368327,0.14410902559757233
79,79.0,0.00296474015340209,0.27822301387786863,0.10639586299657822
80,80.0,0.0025078358594328165,0.275096704930435,0.05267298221588135
81,81.0,0.0017979113617911935,0.27176975622409727,0.014351492747664452
82,82.0,0.0047014993615448475,0.2695272974221103,0.10161059349775314
83,83.0,0.0023208369966596365,0.266718205951509,0.0424196757376194
