,Iteration,Loss,Gap,Local Gaps
0,0.0,0.3371918201446533,0.004884917289018631,0.004884917289018631
1,1.0,0.0171813927590847,0.0025289959739893675,0.00018678435299079865
2,2.0,0.017073873430490494,0.0008979656849987805,0.00021041033323854208
3,3.0,0.01830923929810524,0.0003185121458955109,0.00037693826016038656
4,4.0,0.14009495079517365,7.821462349966168e-05,9.70938999671489e-05
5,5.0,0.02695651724934578,6.441133155021816e-05,0.00031890059472061694
6,6.0,0.03181032836437225,8.595467079430819e-05,0.0005372713785618544
7,7.0,0.016098588705062866,6.441665755119175e-05,0.00042937861871905625
8,8.0,0.01619774103164673,1.3880857295589522e-05,0.00010939159983536229
9,9.0,0.016039103269577026,2.3644770408282056e-05,0.00022256685770116746
10,10.0,0.031287092715501785,3.6080517020309344e-05,0.0003910166269633919
11,11.0,0.011140614748001099,8.21380308480002e-06,6.248511635931209e-05
12,12.0,0.011706927791237831,8.61218632053351e-06,0.0001037446127156727
13,13.0,0.005323270335793495,4.896602604276268e-06,6.023251262377016e-05
14,14.0,0.005669870413839817,7.246394943649648e-06,0.00010379932064097375
15,15.0,0.011458327993750572,2.977982603624696e-06,4.156094291829504e-05
16,16.0,0.016869451850652695,7.338130217249272e-06,0.00012188120308564976
17,17.0,0.010629938915371895,1.0603958799038082e-05,0.00018353313498664647
18,18.0,0.013469794765114784,6.22140078121447e-06,0.000107602660136763
19,19.0,0.35699474811553955,7.952657142595854e-06,0.00015283175162039697
20,20.0,0.023013640195131302,4.7500703658442944e-05,0.0009905287297442555
21,21.0,0.026423390954732895,4.836916923522949e-05,0.0010166210122406483
22,22.0,0.022447701543569565,3.9488208130933344e-05,0.0008688520174473524
23,23.0,0.016597945243120193,2.9618264306918718e-05,0.0006713501643389463
24,24.0,0.024035396054387093,3.759867468033917e-05,0.0009103486081585288
25,25.0,0.027319861575961113,4.820122558157891e-05,0.001215633237734437
26,26.0,0.02661292254924774,4.83315707242582e-05,0.0012567512458190322
27,27.0,0.024003708735108376,3.945421121898107e-05,0.0010681482963263988
28,28.0,0.02021697349846363,2.9400109269772656e-05,0.0008131489739753306
29,29.0,0.019730841740965843,3.654703323263675e-05,0.0010733887320384383
30,30.0,0.3340085744857788,2.834577753674239e-05,0.0008421720704063773
31,31.0,0.01583811827003956,2.2966109099797904e-05,0.0007065696991048753
32,32.0,0.02233382873237133,1.1708824786182959e-05,0.0003802846767939627
33,33.0,0.01995265856385231,9.885963663691655e-06,0.0003244139370508492
34,34.0,0.015840888023376465,1.3101715921948198e-05,0.0004523892712313682
35,35.0,0.017051618546247482,1.4243246369005647e-05,0.0005024249549023807
36,36.0,0.01611935906112194,1.4156868019199464e-05,0.0005095608648844063
37,37.0,0.02055618353188038,1.1657492905214895e-05,0.0004288278869353235
38,38.0,0.020532779395580292,1.2163987776148133e-05,0.0004652693751268089
39,39.0,0.01520492509007454,9.523007975076325e-06,0.0003764209686778486
40,40.0,0.01738620176911354,1.4136217032501008e-05,0.0005709525430575013
41,41.0,0.017263423651456833,1.4076329534873366e-05,0.0005770696443505585
42,42.0,0.018155265599489212,1.1539630577317439e-05,0.0004878668114542961
43,43.0,0.016375141218304634,1.5453044397872873e-05,0.0006737600779160857
44,44.0,0.01817656122148037,2.010604293900542e-05,0.000890142924617976
45,45.0,0.04479033499956131,4.720110609923722e-06,0.0002057066885754466
46,46.0,0.004491026047617197,3.115897925454192e-06,0.00014229383668862283
47,47.0,0.004303473047912121,2.0667646367655834e-06,9.659789793659002e-05
48,48.0,0.004806550219655037,2.2438428004534217e-06,0.0001082229646272026
49,49.0,0.0029496396891772747,1.1897626563950325e-06,5.8008645282825455e-05
50,50.0,0.013848677277565002,3.575934215405141e-07,1.7158397895400412e-05
51,51.0,0.007933497428894043,8.696846975908556e-07,4.507224366534501e-05
52,52.0,0.20391754806041718,8.010347301024012e-07,4.18075687775854e-05
53,53.0,0.011718626134097576,9.616160241421312e-07,5.125093593960628e-05
54,54.0,0.015791408717632294,1.773077315192495e-06,9.655764006311074e-05
55,55.0,0.016892818734049797,1.2942569810547866e-05,0.0007236389210447669
56,56.0,0.02292431890964508,1.1370624633855186e-05,0.0006356578669510782
57,57.0,0.015603591687977314,1.1923208148800768e-05,0.0006801754352636635
58,58.0,0.3815617263317108,1.3537816812458914e-05,0.0007868079701438546
59,59.0,0.019891154021024704,1.9251323465141468e-05,0.0011444406118243933
60,60.0,0.019370637834072113,1.4851290870865341e-05,0.0008930435869842768
61,61.0,0.027957191690802574,2.1633484720950946e-05,0.0013264247681945562
62,62.0,0.021554790437221527,1.341007009614259e-05,0.0008347520488314331
63,63.0,0.019872665405273438,2.3139304175856523e-05,0.0014694953570142388
64,64.0,0.015418360009789467,2.2452586563304067e-05,0.0014362788060680032
65,65.0,0.01730593852698803,2.0735316866193898e-05,0.0013477428583428264
66,66.0,0.015969855710864067,1.3816289538226556e-05,0.0009049560758285224
67,67.0,0.014065067283809185,2.0111399862798862e-05,0.0013537588529288769
68,68.0,0.013917426578700542,1.4288005331763998e-05,0.0009716770728118718
69,69.0,0.7372229695320129,1.1020501005987171e-05,0.000761699047870934
70,70.0,0.01361877378076315,1.5216528481687419e-05,0.0010693530784919858
71,71.0,0.014143392443656921,1.653106119192671e-05,0.0011776231694966555
72,72.0,0.01583877205848694,1.2362907000351697e-05,0.0008875043131411076
73,73.0,0.010879472829401493,1.8217486285720952e-05,0.0013357310090214014
74,74.0,0.010498288087546825,1.4418821592698805e-05,0.0010631941258907318
75,75.0,0.012493097223341465,1.1864011867146473e-05,0.0008872461039572954
76,76.0,0.012555446475744247,2.028251765295863e-05,0.0015524360351264477
77,77.0,0.014498546719551086,1.2765000974468421e-05,0.000985101331025362
78,78.0,0.010909559205174446,1.9362394596100785e-05,0.0015182083006948233
79,79.0,0.007827398367226124,1.9930745111196302e-05,0.001577261951752007
80,80.0,0.06094088405370712,1.754900222294964e-05,0.0014088378520682454
81,81.0,0.021110741421580315,9.458112799620721e-06,0.0007594088674522936
82,82.0,0.012963386252522469,5.603382760455133e-06,0.00045562267769128084
83,83.0,0.046969495713710785,5.467001756187528e-06,0.000453624757938087
84,84.0,0.0129378167912364,5.616141606878955e-06,0.0004719050193671137
85,85.0,0.03147183731198311,8.000847628863994e-06,0.0006824567681178451
86,86.0,0.025838304311037064,5.870600034540985e-06,0.0005033315974287689
