,Iteration,Loss,Gap,Local Gap,Acc,F1,Prec,Rec
0,0.0,1.1018121242523193,1.325868844985962,1.325868844985962,0.3328125,0.2122445666237292,0.1625166516426282,0.3328125
1,1.0,1.0608985424041748,1.3639767169952393,1.409264326095581,0.3328125,0.2122445666237292,0.1625166516426282,0.3328125
2,2.0,0.9475495219230652,1.32450270652771,1.252600073814392,0.3328125,0.2122445666237292,0.1625166516426282,0.3328125
3,3.0,0.9161840677261353,1.3113045692443848,1.289054036140442,0.3328125,0.2122445666237292,0.1625166516426282,0.3328125
4,4.0,0.8455859422683716,1.1915413856506347,0.7124888300895691,0.5875,0.5141712081744103,0.512856560476086,0.5875
5,5.0,0.8237329721450806,1.0922691027323406,0.5959079265594482,0.5875,0.5141712081744103,0.512856560476086,0.5875
6,6.0,0.8910920023918152,1.0063657760620117,0.5389099717140198,0.5875,0.5141712081744103,0.512856560476086,0.5875
7,7.0,0.7826104760169983,0.9499984383583069,0.5805901885032654,0.5875,0.5141712081744103,0.512856560476086,0.5875
8,8.0,0.9323190450668335,0.9525401857164171,0.9728743433952332,0.559375,0.47138391381905176,0.42766874947370637,0.559375
9,9.0,0.9363706707954407,0.9717801094055176,1.1512362957000732,0.559375,0.47138391381905176,0.42766874947370637,0.559375
10,10.0,0.9520527124404907,1.0104760256680576,1.4480022192001343,0.559375,0.47138391381905176,0.42766874947370637,0.559375
11,11.0,0.8590623140335083,0.9696873823801676,0.5222644209861755,0.559375,0.47138391381905176,0.42766874947370637,0.559375
12,12.0,0.7506176233291626,0.950412236727201,0.7191101312637329,0.7140625,0.6855886939772255,0.7239357353135368,0.7140625
13,13.0,0.8897294998168945,0.9235849380493164,0.5748305320739746,0.7140625,0.6855886939772255,0.7239357353135368,0.7140625
14,14.0,0.7785446643829346,0.8845222473144532,0.3376449942588806,0.7140625,0.6855886939772255,0.7239357353135368,0.7140625
15,15.0,0.8114715814590454,0.8780158162117004,0.7863924503326416,0.7140625,0.6855886939772255,0.7239357353135368,0.7140625
16,16.0,0.7797403335571289,0.846499667448156,0.3578656017780304,0.715625,0.7079711812504046,0.7832505049236349,0.715625
17,17.0,0.7539244294166565,0.8113371531168619,0.21357454359531403,0.715625,0.7079711812504046,0.7832505049236349,0.715625
18,18.0,0.7367897033691406,0.7784770162482011,0.19379878044128418,0.715625,0.7079711812504046,0.7832505049236349,0.715625
19,19.0,0.7126973867416382,0.7511059761047363,0.23105601966381073,0.715625,0.7079711812504046,0.7832505049236349,0.715625
20,20.0,0.7570932507514954,0.7319853192283994,0.3828265964984894,0.7296875,0.7112105199218709,0.7549586389068953,0.7296875
21,21.0,0.7580341100692749,0.7195361310785467,0.48075953125953674,0.7296875,0.7112105199218709,0.7549586389068953,0.7296875
22,22.0,0.7259909510612488,0.7019180629564368,0.31432101130485535,0.7296875,0.7112105199218709,0.7549586389068953,0.7296875
23,23.0,0.6800777912139893,0.6790419419606527,0.16580891609191895,0.7296875,0.7112105199218709,0.7549586389068953,0.7296875
24,24.0,0.7096700668334961,0.6616983032226562,0.24545179307460785,0.7625,0.7523861197121816,0.7797328696048552,0.7625
25,25.0,0.7928242683410645,0.6463165283203125,0.27646365761756897,0.7625,0.7523861197121816,0.7797328696048552,0.7625
26,26.0,0.691528856754303,0.642897711859809,0.5708582997322083,0.7625,0.7523861197121816,0.7797328696048552,0.7625
27,27.0,0.6782084703445435,0.6275149072919574,0.22085796296596527,0.7625,0.7523861197121816,0.7797328696048552,0.7625
28,28.0,0.9725953340530396,0.622656460466056,0.6668061017990112,0.5828125,0.5055883888480703,0.7119380394578833,0.5828125
29,29.0,0.7727221250534058,0.6149007161458333,0.41391295194625854,0.5828125,0.5055883888480703,0.7119380394578833,0.5828125
30,30.0,0.7585912346839905,0.6053779971215033,0.32374346256256104,0.5828125,0.5055883888480703,0.7119380394578833,0.5828125
31,31.0,0.7515121698379517,0.6032418012619019,0.561353325843811,0.5828125,0.5055883888480703,0.7119380394578833,0.5828125
32,32.0,0.9589563608169556,0.60260686007413,0.6073784828186035,0.7359375,0.740831788111396,0.8069027727618137,0.7359375
33,33.0,0.7853967547416687,0.5990974201875574,0.5150354504585266,0.7359375,0.740831788111396,0.8069027727618137,0.7359375
34,34.0,0.8089736700057983,0.5922827039446149,0.3605825901031494,0.7359375,0.740831788111396,0.8069027727618137,0.7359375
35,35.0,0.7050879001617432,0.5817593998379178,0.2134438157081604,0.7359375,0.740831788111396,0.8069027727618137,0.7359375
36,36.0,0.7797595262527466,0.5788175222036,0.4729103446006775,0.765625,0.7538416652692226,0.7901000299332048,0.765625
37,37.0,0.728946328163147,0.5699622505589536,0.26819559931755066,0.765625,0.7538416652692226,0.7901000299332048,0.765625
38,38.0,1.326064944267273,0.6280927413549179,2.8370513916015625,0.765625,0.7538416652692226,0.7901000299332048,0.765625
39,39.0,0.7314422726631165,0.6175110340118408,0.2127881497144699,0.765625,0.7538416652692226,0.7901000299332048,0.765625
40,40.0,0.739775538444519,0.6145409839909252,0.5803781747817993,0.7515625,0.7293188980162357,0.7994389447175724,0.7515625
41,41.0,0.6775636672973633,0.6056922730945405,0.3109266459941864,0.7515625,0.7293188980162357,0.7994389447175724,0.7515625
42,42.0,0.7690458297729492,0.5945453643798828,0.12637563049793243,0.7515625,0.7293188980162357,0.7994389447175724,0.7515625
43,43.0,0.7058992385864258,0.5892015803943981,0.3767043352127075,0.7515625,0.7293188980162357,0.7994389447175724,0.7515625
