,Iteration,Loss,Gap,Local Gaps
0,0.0,0.2794775664806366,0.004455752205103636,0.004455752205103636
1,1.0,0.065093033015728,0.0024581411853432655,0.00047395427827723324
2,2.0,0.027161555364727974,0.0008633567485958338,0.0002364063693676144
3,3.0,0.017676901072263718,0.00038414791924878955,0.0007424017530865967
4,4.0,0.019043175503611565,0.00014903463306836784,0.0003610252751968801
5,5.0,0.018321000039577484,0.00011744879884645343,0.0005556581309065223
6,6.0,0.019779980182647705,7.145509152906016e-05,0.0003827368200290948
7,7.0,0.017141124233603477,0.00010409227979835123,0.0007612831541337073
8,8.0,0.020767750218510628,0.00010917673353105783,0.0008784983074292541
9,9.0,0.01429616566747427,3.386682510608807e-05,0.00022949151752982289
10,10.0,0.017222538590431213,6.341586413327605e-05,0.0006637076730839908
11,11.0,0.025172550231218338,6.0412650782382116e-05,0.0006615359452553093
12,12.0,0.015551223419606686,4.910575080430135e-05,0.0005779621424153447
13,13.0,0.015231555327773094,5.122172660776414e-05,0.0006679984508082271
14,14.0,0.020750867202878,2.6144418370677158e-05,0.00034094456350430846
15,15.0,0.014708560891449451,4.7654812078690156e-05,0.0007363325566984713
16,16.0,0.03888726979494095,6.157232564873993e-05,0.0010178090305998921
17,17.0,0.005025133024901152,1.149066611105809e-05,0.00014676031423732638
18,18.0,0.0012371963821351528,2.398619244559086e-06,3.4328251786064357e-05
19,19.0,0.0007272015791386366,2.1837245185452048e-06,4.1300299926660955e-05
20,20.0,0.0008393848547711968,2.051702949756873e-06,4.1267114283982664e-05
21,21.0,0.0017173211090266705,1.5293952628780971e-06,3.159499101457186e-05
22,22.0,0.001001492259092629,1.5108108755157446e-06,3.3219253964489326e-05
23,23.0,0.0007283848244696856,1.4027735915078665e-06,3.2155752705875784e-05
24,24.0,0.0005353618180379272,9.500586770627706e-07,2.2471749616670422e-05
25,25.0,0.0003641920629888773,8.136355518217897e-07,2.0204466636641882e-05
26,26.0,0.0004605252470355481,8.723127393750474e-07,2.2793396055931225e-05
27,27.0,0.002078457735478878,7.552848728664685e-07,2.027566370088607e-05
28,28.0,0.0003601056232582778,6.904563178977696e-07,1.9324910681461915e-05
29,29.0,0.000569718424230814,6.251051445360645e-07,1.808337401598692e-05
30,30.0,0.0005205914494581521,6.006813464409788e-07,1.799601704988163e-05
31,31.0,0.0004621354164555669,6.026212417964416e-07,1.8687103874981403e-05
32,32.0,0.04112652689218521,1.106544823414879e-05,0.0003645996330305934
33,33.0,0.024724174290895462,5.163108198757982e-06,0.00016821161261759698
34,34.0,0.023033272475004196,9.544719432597049e-06,0.0003326584701426327
35,35.0,0.021322550252079964,1.2831079402531032e-05,0.0004523741372395307
36,36.0,0.017610233277082443,1.183933545689797e-05,0.0004252243088558316
37,37.0,0.014211516827344894,6.044936981197679e-06,0.00022671280021313578
38,38.0,0.01894303597509861,8.637407518108375e-06,0.00033464370062574744
39,39.0,0.017149973660707474,1.4694645869894885e-05,0.0005791484145447612
40,40.0,0.013134632259607315,1.2662813787756022e-05,0.0005044807330705225
41,41.0,0.018995244055986404,1.328033522440819e-05,0.0005451113102026284
42,42.0,0.01517835259437561,1.2141590559622273e-05,0.0005088080652058125
43,43.0,0.014806417748332024,8.506312042300124e-06,0.00036213613930158317
44,44.0,0.011191658675670624,9.990058970288374e-06,0.00044104631524533033
45,45.0,0.019283369183540344,9.7115698736161e-06,0.000436742149759084
46,46.0,0.017258282750844955,7.77562763687456e-06,0.00035574292996898293
47,47.0,0.017879668623209,8.239208000304643e-06,0.000387706357287243
48,48.0,0.016810471192002296,1.1563161024241708e-05,0.0005583556485362351
49,49.0,0.014188983477652073,6.9153161348367576e-06,0.00033822079421952367
50,50.0,0.017089910805225372,6.1352002376224846e-06,0.00030753633473068476
51,51.0,0.014469370245933533,7.698131412325893e-06,0.0003941676113754511
52,52.0,0.02028622291982174,4.342449301475426e-06,0.00022245167929213494
53,53.0,0.013997359201312065,7.893506335676648e-06,0.00042190690874122083
54,54.0,0.02029321901500225,6.691728231089655e-06,0.0003601515491027385
55,55.0,0.01519065722823143,7.41506710255635e-06,0.00040855203405953944
56,56.0,0.0128778126090765,4.6072077566350345e-06,0.000258255866356194
57,57.0,0.015041939914226532,7.0176402005017735e-06,0.00040301555418409407
58,58.0,0.01173480600118637,6.170441338326782e-06,0.00035703839967027307
59,59.0,0.015872932970523834,5.6535768635512795e-06,0.00033304415410384536
60,60.0,0.01664859615266323,3.687036041810643e-06,0.00022382751922123134
61,61.0,0.015844061970710754,1.0607347576296888e-05,0.0006543004419654608
62,62.0,0.011624298058450222,1.0344313523091841e-05,0.000641084392555058
63,63.0,0.02503363788127899,4.181860276730731e-06,0.00025729474145919085
64,64.0,0.01739652268588543,1.1852628631459083e-05,0.0007662390125915408
65,65.0,0.010437707416713238,6.070570179872448e-06,0.00038880499778315425
66,66.0,0.01202024519443512,6.076845693314681e-06,0.00040107808308675885
67,67.0,0.013588644564151764,4.878644631389761e-06,0.00032567098969593644
68,68.0,0.014832692220807076,9.08953916223254e-06,0.0006222995580174029
69,69.0,0.012732082046568394,6.5529634412087034e-06,0.00044961791718378663
70,70.0,0.019400374963879585,7.933019332995173e-06,0.0005566914333030581
71,71.0,0.017200469970703125,7.002469828876201e-06,0.0005025533610023558
72,72.0,0.02053590677678585,1.1350037311785854e-05,0.0008221346070058644
73,73.0,0.002575953956693411,2.2385220290743746e-06,0.00015461421571671963
74,74.0,0.00043683077092282474,7.701086701672466e-07,5.580034485319629e-05
75,75.0,0.00031783065060153604,8.064743042268674e-07,6.052193930372596e-05
76,76.0,0.0005504104774445295,2.8879162528028246e-07,2.1430480046547018e-05
77,77.0,0.0011411288287490606,2.4727680170144595e-07,1.8998798623215407e-05
78,78.0,0.00020561367273330688,2.8639047400247364e-07,2.2377571440301836e-05
79,79.0,0.0028748277109116316,2.568107788647467e-07,2.0294281057431363e-05
80,80.0,0.0015232012374326587,1.1218656936762272e-06,9.061431046575308e-05
81,81.0,0.001914341701194644,8.866929306350357e-07,7.1586953708902e-05
82,82.0,0.0011894917115569115,6.864328270239639e-07,5.624856203212403e-05
83,83.0,0.0017207653727382421,6.607612590414647e-07,5.481751577463001e-05
84,84.0,0.0013598253717646003,6.2100275499688e-07,5.212447285884991e-05
85,85.0,0.0022247000597417355,6.65798097543302e-07,5.666000288329087e-05
86,86.0,0.0011815138859674335,7.234461349980847e-07,6.246369594009593e-05
87,87.0,0.0010563737014308572,6.078801106923493e-07,5.296995004755445e-05
88,88.0,0.041117116808891296,4.135787548875669e-06,0.00036750544677488506
89,89.0,0.02230893075466156,4.7595176511094905e-06,0.00042689693509601057
90,90.0,0.013314729556441307,5.146033799974248e-06,0.00046352954814210534
91,91.0,0.021049389615654945,5.647644684358966e-06,0.000514437269885093
92,92.0,0.014206599444150925,5.779262210126035e-06,0.000531823723576963
93,93.0,0.013304010033607483,1.9619085378508316e-06,0.00018365844152867794
94,94.0,0.01617228053510189,2.4584223865531385e-06,0.0002320062048966065
95,95.0,0.016823895275592804,4.7982052819861565e-06,0.0004581692919600755
96,96.0,0.021268781274557114,4.358396836323664e-06,0.00041796630830504
97,97.0,0.01643119379878044,6.716593816236127e-06,0.000653867784421891
98,98.0,0.01685641147196293,6.172947905724868e-06,0.0006044052424840629
99,99.0,0.024006567895412445,4.163119228905998e-06,0.00041013897862285376
100,100.0,0.013934447430074215,2.5057579478016123e-06,0.0002511239727027714
101,101.0,0.016048574820160866,4.821767561224988e-06,0.0004896908649243414
102,102.0,0.016741279512643814,5.749269348598318e-06,0.0005873530171811581
103,103.0,0.014509892091155052,4.6001905502635054e-06,0.0004726705374196172
104,104.0,0.015591781586408615,6.0191941884113476e-06,0.0006274151965044439
105,105.0,0.01710241474211216,4.4503690332931e-06,0.0004657199315261096
106,106.0,0.013765504583716393,2.6186626200797036e-06,0.0002757465117610991
107,107.0,0.0170047115534544,3.93992331737536e-06,0.0004228930629324168
108,108.0,0.015044432133436203,2.865502437998657e-06,0.00030839984538033605
109,109.0,0.017189353704452515,2.3485420115321176e-06,0.0002554741222411394
110,110.0,0.019186243414878845,3.1572380976285785e-06,0.0003481048916000873
111,111.0,0.01594138890504837,4.759559942613123e-06,0.0005299134645611048
112,112.0,0.011522178538143635,2.7342402972863056e-06,0.00030420959228649735
113,113.0,0.014460930600762367,5.503777174453717e-06,0.0006246963748708367
114,114.0,0.02050378918647766,4.034092398796929e-06,0.00045841687824577093
115,115.0,0.01422079186886549,3.4208148917969083e-06,0.0003927804355043918
116,116.0,0.014988522045314312,3.854206624964718e-06,0.00045002292608842254
117,117.0,0.017745770514011383,3.6149349398328923e-06,0.0004258120898157358
118,118.0,0.019297627732157707,3.963465132983401e-06,0.0004686758329626173
119,119.0,0.014523989520967007,3.7958266148052644e-06,0.0004547559074126184
120,120.0,0.01633382961153984,4.5329411477723625e-06,0.0005446980358101428
121,121.0,0.015972010791301727,6.0892234614584595e-06,0.0007383523625321686
122,122.0,0.024538997560739517,1.5471081269424758e-06,0.00018759534577839077
123,123.0,0.018025638535618782,5.297923507896485e-06,0.0006557860178872943
124,124.0,0.016244281083345413,3.4106640214304207e-06,0.0004210350743960589
125,125.0,0.016918443143367767,3.5836733331962023e-06,0.0004481321666389704
126,126.0,0.01886688359081745,4.797338078788016e-06,0.0006056782440282404
127,127.0,0.014273296110332012,2.0394729745021323e-06,0.00025625521084293723
128,128.0,0.036115631461143494,8.751809218665585e-06,0.0011269438546150923
129,129.0,0.012184200808405876,7.109928787940589e-07,8.370540308533236e-05
130,130.0,0.0030074436217546463,9.019399840326514e-07,0.00011744314542738721
131,131.0,0.0036475583910942078,9.229163993040856e-07,0.00012092302495148033
132,132.0,0.0024983235634863377,8.289249535664567e-07,0.0001093241007765755
133,133.0,0.0018904487369582057,8.234674169216305e-07,0.00010951570584438741
134,134.0,0.0022952775470912457,7.664027066311974e-07,0.00010264090087730438
135,135.0,0.0021778689697384834,7.209374643935007e-07,9.742129623191431e-05
136,136.0,0.0007747876225039363,2.5811161208366684e-07,3.477324571576901e-05
137,137.0,0.0008456164505332708,2.7659478973873775e-07,3.79776356567163e-05
138,138.0,0.0008383990498259664,3.4820752148334577e-07,4.814669591723941e-05
139,139.0,0.0007892160210758448,3.353171109665709e-07,4.659618571167812e-05
140,140.0,0.001505937660112977,3.544156754742289e-07,4.963729588780552e-05
141,141.0,0.0023633060045540333,3.9691755659987393e-07,5.600787699222565e-05
142,142.0,0.0007273009396158159,3.79218477064569e-07,5.3831325203645974e-05
143,143.0,0.0007909791311249137,4.4317715719444095e-07,6.343829591060057e-05
144,144.0,0.03401469811797142,1.8282431710758829e-06,0.000264763250015676
145,145.0,0.03228765353560448,1.2764204484483344e-06,0.00018452914082445204
146,146.0,0.03227243945002556,1.3942127452537534e-06,0.00020471875905059278
147,147.0,0.016688425093889236,5.11730490870832e-07,7.448820542776957e-05
148,148.0,0.12407374382019043,2.3685968244535616e-06,0.00035264648613519967
149,149.0,0.02134755626320839,2.4507951366103953e-06,0.00036525068571791053
150,150.0,0.020786680281162262,8.038145438149513e-07,0.00011892519978573546
151,151.0,0.026277242228388786,2.8514518817246426e-06,0.0004326168564148247
152,152.0,0.018124248832464218,4.869208169111516e-06,0.0007421373738907278
153,153.0,0.015803446993231773,3.294961743449676e-06,0.0005025549326092005
154,154.0,0.021694008260965347,2.701528728721314e-06,0.0004154419875703752
155,155.0,0.017300236970186234,3.699471562867984e-06,0.0005744160152971745
156,156.0,0.013839058578014374,2.4665025648573646e-06,0.0003835414245259017
157,157.0,0.012907949276268482,3.900564024661435e-06,0.0006138226017355919
158,158.0,0.01636003516614437,2.678534883671091e-06,0.00042198647861368954
159,159.0,0.016010969877243042,1.407602098879579e-06,0.00022253779752645642
