,Iteration,Loss,Gap,Local Gap
0,0.0,0.27182888984680176,1.1432832479476929,1.1432832479476929
1,1.0,0.38884609937667847,1.4352750778198242,1.7272669076919556
2,2.0,0.5111064910888672,1.5295028686523438,1.7179585695266724
3,3.0,0.4380270540714264,1.6117451190948486,1.8584719896316528
4,4.0,0.48467332124710083,1.6511444091796874,1.8087419271469116
5,5.0,0.3530116379261017,1.6481237411499023,1.633020281791687
6,6.0,0.02984827570617199,1.4344636372157507,0.15250283479690552
7,7.0,0.050805218517780304,1.2999690771102905,0.3585073947906494
8,8.0,0.035484157502651215,1.185908317565918,0.2734225392341614
9,9.0,0.08345043659210205,1.1350675582885743,0.6775007247924805
10,10.0,0.07968277484178543,1.081835313276811,0.5495128631591797
11,11.0,0.043281570076942444,1.0213046073913574,0.35546645522117615
12,12.0,0.017486749216914177,0.9462044789240911,0.0450032502412796
13,13.0,0.027871277183294296,0.8883662905011859,0.13646985590457916
14,14.0,0.04977303370833397,0.8470767339070638,0.2690228223800659
15,15.0,0.12013483047485352,0.8301191926002502,0.5757560729980469
16,16.0,0.07849594950675964,0.8140805188347312,0.5574617385864258
17,17.0,0.0324702262878418,0.7867768605550131,0.32261422276496887
18,18.0,0.0059021152555942535,0.7531454186690482,0.14777985215187073
19,19.0,0.046191345900297165,0.7354728698730468,0.3996943533420563
20,20.0,0.014741792343556881,0.7101204281761533,0.2030714899301529
21,21.0,0.010689266957342625,0.6855321797457609,0.16917935013771057
22,22.0,0.09105954319238663,0.6995435797649882,1.0077944993972778
23,23.0,0.002798438537865877,0.6737798849741617,0.08121534436941147
24,24.0,0.06628712266683578,0.6670687103271484,0.506000816822052
25,25.0,0.010724839754402637,0.6501800830547626,0.22796355187892914
26,26.0,0.04763675108551979,0.6411834999367043,0.40727153420448303
27,27.0,0.001361074740998447,0.6202648026602608,0.0554601289331913
28,28.0,0.021106142550706863,0.607495406578327,0.24995259940624237
29,29.0,0.009322388097643852,0.592466926574707,0.15664182603359222
30,30.0,0.010799645446240902,0.578843024469191,0.1701267957687378
31,31.0,0.009222839958965778,0.5656201839447021,0.1557113230228424
32,32.0,0.08224402368068695,0.5602762048894708,0.38926950097084045
33,33.0,0.029935520142316818,0.5464165631462546,0.08904873579740524
34,34.0,0.032721348106861115,0.5359457288469587,0.17993776500225067
35,35.0,0.07655824720859528,0.5311483807033963,0.36324045062065125
36,36.0,0.03799603506922722,0.5219285810315931,0.19001564383506775
37,37.0,0.02578553557395935,0.5124588012695312,0.16207610070705414
38,38.0,0.1139279156923294,0.5171399727845803,0.6950249671936035
39,39.0,0.06673358380794525,0.5150866508483887,0.43500712513923645
40,40.0,0.02020874246954918,0.5056079306253572,0.12645955383777618
41,41.0,0.014810165390372276,0.4943472544352214,0.03265910968184471
42,42.0,0.013190747238695621,0.4829785990160565,0.005495184101164341
43,43.0,0.042532868683338165,0.4793099923567338,0.3215596377849579
44,44.0,0.012707063928246498,0.4727199554443359,0.18275757133960724
45,45.0,0.017878305166959763,0.46400870447573456,0.0720016360282898
46,46.0,0.07583755254745483,0.4649603417579164,0.5087348818778992
47,47.0,0.019900497049093246,0.45672448476155597,0.06963928043842316
48,48.0,0.023098204284906387,0.4485897142059949,0.05812060460448265
49,49.0,0.021160978823900223,0.4430606460571289,0.1721360683441162
50,50.0,0.020588869228959084,0.43620408750047873,0.09337619692087173
51,51.0,0.010017002001404762,0.4280871244577261,0.01412200927734375
52,52.0,0.11337441951036453,0.4313614683331184,0.6016281843185425
53,53.0,0.02060454525053501,0.42561668819851345,0.12114416062831879
54,54.0,0.014604615978896618,0.41920197226784445,0.07280665636062622
55,55.0,0.03625205159187317,0.4178401402064732,0.3429397940635681
56,56.0,0.011964922770857811,0.41198138186806127,0.08389079570770264
57,57.0,0.015196277759969234,0.40955240973110857,0.2711004912853241
58,58.0,0.03163754194974899,0.40857664205260197,0.3519826829433441
59,59.0,0.014233485795557499,0.4028090794881185,0.0625237300992012
60,60.0,0.019161298871040344,0.3977299361932473,0.09298086911439896
61,61.0,0.020766302943229675,0.39318939947312875,0.1162165179848671
62,62.0,0.015140977688133717,0.3889711773584759,0.1274414211511612
63,63.0,0.01264876313507557,0.38305196166038513,0.010140449739992619
64,64.0,0.012039839290082455,0.37886868990384615,0.11113905906677246
65,65.0,0.02919091284275055,0.37668733885793976,0.2349003255367279
66,66.0,0.03234825283288956,0.37460443866786675,0.23713351786136627
67,67.0,0.016947409138083458,0.37098825679105873,0.12870481610298157
68,68.0,0.023477500304579735,0.36651849055635755,0.0625738650560379
69,69.0,0.05306461453437805,0.3673145566667829,0.42224353551864624
70,70.0,0.01023981161415577,0.3623316321574466,0.013527574948966503
71,71.0,0.021593892946839333,0.3589225875006782,0.11687947064638138
72,72.0,0.043795812875032425,0.3593620143524588,0.39100149273872375
73,73.0,0.0028642492834478617,0.3556174200934333,0.08226128667593002
74,74.0,0.006737145129591227,0.35262034098307293,0.13083624839782715
75,75.0,0.0018228415865451097,0.34883142772473785,0.06466376036405563
76,76.0,0.002725200727581978,0.3453557646119749,0.08120445907115936
77,77.0,0.0006818840047344565,0.34142428178053635,0.03869934380054474
78,78.0,0.0005745518719777465,0.3375507065012485,0.035411685705184937
79,79.0,0.012667851522564888,0.3356882333755493,0.18855281174182892
80,80.0,0.0012576740700751543,0.33220988144109276,0.05394089221954346
81,81.0,0.0015934548573568463,0.3288931497713415,0.06023719534277916
82,82.0,0.026189740747213364,0.3283888115940324,0.28703248500823975
83,83.0,0.000756744178943336,0.324972288949149,0.04140068590641022
