,Iteration,Loss,Gap,Local Gap
0,0.0,0.42074859142303467,1.5560805797576904,1.5560805797576904
1,1.0,0.373094379901886,1.8858739137649536,2.215667247772217
2,2.0,0.024918578565120697,1.3959706624348958,0.4161640703678131
3,3.0,0.03492297977209091,1.1488085985183716,0.40732237696647644
4,4.0,0.07260994613170624,1.075403594970703,0.7817835807800293
5,5.0,0.01222390029579401,0.9072631200154623,0.06656067073345184
6,6.0,0.028500238433480263,0.8487733432224819,0.4978345036506653
7,7.0,0.07619728147983551,0.8581165075302124,0.9235184192657471
8,8.0,0.014692679047584534,0.7711815304226346,0.07570154964923859
9,9.0,0.12132708728313446,0.8103607177734375,1.1629736423492432
10,10.0,0.11230754852294922,0.8256946910511364,0.9790343046188354
11,11.0,0.054192204028367996,0.8055819670359293,0.5843420028686523
12,12.0,0.1308554708957672,0.8206829657921424,1.0018945932388306
13,13.0,0.06815892457962036,0.8085448401314872,0.6507490277290344
14,14.0,0.10748026520013809,0.8121464411417644,0.862568736076355
15,15.0,0.025755135342478752,0.7812960743904114,0.3185403048992157
16,16.0,0.014629151672124863,0.7417915007647347,0.10971853137016296
17,17.0,0.0940542221069336,0.7454360326131185,0.8073931932449341
18,18.0,0.03994261473417282,0.7317934538188734,0.48622676730155945
19,19.0,0.030362026765942574,0.7139073371887207,0.3740708827972412
20,20.0,0.015375111252069473,0.6865269797188895,0.13891953229904175
21,21.0,0.060398589819669724,0.6838816729458895,0.6283302307128906
22,22.0,0.019964322447776794,0.6673712108446204,0.30414092540740967
23,23.0,0.08521156013011932,0.6711270014444987,0.757510781288147
24,24.0,0.014562118798494339,0.6504977416992187,0.15539491176605225
25,25.0,0.014976615086197853,0.6340013650747446,0.22159264981746674
26,26.0,0.0517733171582222,0.6299297191478588,0.5240663290023804
27,27.0,0.012624700553715229,0.6113463129316058,0.10959503054618835
28,28.0,0.027024105191230774,0.6099216198099071,0.5700294971466064
29,29.0,0.012946432456374168,0.5928901036580404,0.09897658228874207
30,30.0,0.03726302832365036,0.5904142933507119,0.5161401033401489
31,31.0,0.008596226572990417,0.5735054612159729,0.049331184476614
32,32.0,0.010422521270811558,0.5580744309858843,0.06428106129169464
33,33.0,0.014068295247852802,0.5454364103429458,0.12838114798069
34,34.0,0.031683389097452164,0.5485264369419642,0.6535882949829102
35,35.0,0.014524899423122406,0.5362608167860243,0.10696369409561157
36,36.0,0.019477715715765953,0.5283972765948322,0.24531027674674988
37,37.0,0.01854613982141018,0.5186128114399157,0.1565883308649063
38,38.0,0.010002914816141129,0.5061875367775942,0.034026771783828735
39,39.0,0.01241445355117321,0.4947926998138428,0.05039479583501816
40,40.0,0.016674833372235298,0.48577913423863855,0.12523727118968964
41,41.0,0.020053641870617867,0.4784947804042271,0.1798354685306549
42,42.0,0.019528288394212723,0.4720667462016261,0.20208920538425446
43,43.0,0.016487078741192818,0.46606029163707385,0.20778197050094604
44,44.0,0.01311485469341278,0.46113544040256077,0.24444188177585602
45,45.0,0.01607809215784073,0.4552612719328507,0.19092324376106262
46,46.0,0.007000344339758158,0.44895164002763466,0.15870845317840576
47,47.0,0.017348188906908035,0.44104329744974774,0.06935159116983414
48,48.0,0.014347193762660027,0.43413757791324536,0.10266214609146118
49,49.0,0.02567034214735031,0.43883087158203127,0.6688018441200256
50,50.0,0.018031716346740723,0.43203529657102097,0.09225668013095856
51,51.0,0.02014906331896782,0.4280385604271522,0.22420498728752136
52,52.0,0.010652245953679085,0.42135346610591096,0.07372934371232986
53,53.0,0.010459189303219318,0.41541784780996815,0.10083039104938507
54,54.0,0.013551807962357998,0.4117368871515447,0.21296513080596924
55,55.0,0.011924222111701965,0.40507238251822336,0.0385238379240036
56,56.0,0.00982817355543375,0.39901408814547357,0.05974888801574707
57,57.0,0.021390074864029884,0.3957938490242794,0.2122400403022766
58,58.0,0.021817564964294434,0.3939612437102754,0.2876695692539215
59,59.0,0.009806711226701736,0.38819580078125,0.04803388938307762
60,60.0,0.015456127002835274,0.38269615173339844,0.05271705612540245
61,61.0,0.025631925091147423,0.3822038096766318,0.3521711230278015
62,62.0,0.02383299730718136,0.38420313880557105,0.5081613659858704
63,63.0,0.011040342971682549,0.37973400950431824,0.09817890077829361
64,64.0,0.011013135313987732,0.37490293062650243,0.06571324169635773
65,65.0,0.015004787594079971,0.3712865367080226,0.13622011244297028
66,66.0,0.03013528324663639,0.37301681290811567,0.4872151017189026
67,67.0,0.009750771336257458,0.368562473970301,0.0701223686337471
68,68.0,0.02085810713469982,0.3665237150330474,0.22788836061954498
69,69.0,0.015161694027483463,0.3638498033796038,0.17934955656528473
70,70.0,0.015466976910829544,0.36185390848509025,0.2221418172121048
71,71.0,0.011717984452843666,0.3581337398952908,0.09400102496147156
72,72.0,0.03246338292956352,0.362981038550808,0.7119873762130737
73,73.0,0.011358683928847313,0.36035522254737645,0.168670654296875
74,74.0,0.013561840169131756,0.3573822784423828,0.13738426566123962
75,75.0,0.014503407292068005,0.35324947457564504,0.04328839108347893
76,76.0,0.00946225505322218,0.34934873704786423,0.05289360508322716
77,77.0,0.024710282683372498,0.350005492185935,0.40057483315467834
78,78.0,0.009731236845254898,0.34659899940973593,0.080892413854599
79,79.0,0.06475332379341125,0.3612689018249512,1.5201911926269531
80,80.0,0.011374765075743198,0.3583732181125217,0.12671759724617004
81,81.0,0.012989724054932594,0.3547557970372642,0.06174507737159729
82,82.0,0.015346379950642586,0.35460235411862295,0.3420206606388092
83,83.0,0.022812161594629288,0.35666061583019437,0.5274959206581116
