,Iteration,Loss,Gap,Accuracy,F1,Precision,Recall
0,0.0,1.0984563827514648,0.019977949559688568,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
1,1.0,0.4997381567955017,0.014976045116782188,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
2,2.0,0.6683598756790161,0.006099857855588198,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
3,3.0,0.5357006192207336,0.004951894283294678,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
4,4.0,0.6737141013145447,0.0018126405775547028,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
5,5.0,0.5686749219894409,0.003599026473239064,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
6,6.0,0.41405585408210754,0.0023296738509088755,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
7,7.0,0.3061795234680176,0.001569387735798955,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
8,8.0,0.4310734272003174,0.002672906732186675,0.40307971014492755,0.3131648138141606,0.2791463190506196,0.40307971014492755
9,9.0,0.33425360918045044,0.0008578072302043438,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
10,10.0,0.4943857192993164,0.0012641993816941977,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
11,11.0,0.38078463077545166,0.0011697133304551244,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
12,12.0,0.3174070715904236,0.0005964486626908183,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
13,13.0,0.3942084014415741,0.0008797949412837625,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
14,14.0,0.3165963292121887,0.0007544748950749636,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
15,15.0,0.39702102541923523,0.0006673685275018215,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
16,16.0,0.3949599862098694,0.0006360840052366257,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
17,17.0,0.33301252126693726,0.0005061492556706071,0.8577898550724639,0.8764373191574993,0.9297967875965532,0.8577898550724639
18,18.0,0.2445024847984314,0.0002768276317510754,1.0,1.0,1.0,1.0
19,19.0,0.15119528770446777,0.00021465678582899272,1.0,1.0,1.0,1.0
20,20.0,0.103194460272789,0.00010476644820300862,1.0,1.0,1.0,1.0
21,21.0,0.050922393798828125,8.08722252259031e-05,1.0,1.0,1.0,1.0
22,22.0,0.028645789250731468,5.553228402277455e-05,1.0,1.0,1.0,1.0
23,23.0,0.03642912581562996,4.697844269685447e-05,1.0,1.0,1.0,1.0
24,24.0,0.02678646706044674,4.463489312911406e-05,1.0,1.0,1.0,1.0
25,25.0,0.0234164297580719,4.249566336511634e-05,1.0,1.0,1.0,1.0
26,26.0,0.02770695462822914,3.4173579479102045e-05,1.0,1.0,1.0,1.0
27,27.0,0.017566949129104614,1.7663185644778423e-05,1.0,1.0,1.0,1.0
28,28.0,0.02074042707681656,1.606650766916573e-05,1.0,1.0,1.0,1.0
29,29.0,0.01854860596358776,1.4349613593367394e-05,1.0,1.0,1.0,1.0
30,30.0,0.017900530248880386,1.1938428542634938e-05,1.0,1.0,1.0,1.0
31,31.0,0.017317287623882294,9.519134437141474e-06,1.0,1.0,1.0,1.0
32,32.0,0.018192917108535767,8.669390808790922e-06,1.0,1.0,1.0,1.0
33,33.0,0.014072835445404053,6.3239749579224735e-06,1.0,1.0,1.0,1.0
34,34.0,0.015582546591758728,7.022124009381514e-06,1.0,1.0,1.0,1.0
