,Test Acc,Test F1,Test Precision,Test Recall
0,0.9710144927536232,0.9719716223994205,0.9738956432714818,0.9710144927536232
1,0.9239130434782609,0.9238939753232267,0.9238992729142186,0.9239130434782609
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.9311594202898551,0.9312002074564093,0.9314613526570049,0.9311594202898551
5,0.8478260869565217,0.8454849498327759,0.8671929688107646,0.8478260869565217
6,0.855072463768116,0.8495631432941848,0.8852657004830917,0.855072463768116
7,0.8514492753623188,0.8492696571909679,0.8868596225143243,0.8514492753623188
8,0.9202898550724637,0.9201012564856959,0.9278191973622697,0.9202898550724637
9,0.9601449275362319,0.9608165454936366,0.9638570781573499,0.9601449275362319
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.8695652173913043,0.8714365916037676,0.9028677150786308,0.8695652173913043
13,0.8659420289855072,0.8553844996431532,0.8801959752842083,0.8659420289855072
14,0.8731884057971014,0.8728969844239678,0.9012795817281233,0.8731884057971014
15,0.9130434782608695,0.9130434782608695,0.9247200898837165,0.9130434782608695
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,0.9528985507246377,0.9526888807390923,0.954559366279593,0.9528985507246377
19,0.9420289855072463,0.9421300817117733,0.9431239596218752,0.9420289855072463
20,0.894927536231884,0.8960188953874154,0.9074750691040149,0.894927536231884
21,0.7971014492753623,0.7982104175996929,0.8574400299850075,0.7971014492753623
22,0.8623188405797102,0.859098228663446,0.8877717391304347,0.8623188405797102
23,0.9021739130434783,0.9041598290136009,0.9234747545582047,0.9021739130434783
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.9311594202898551,0.9297171186934967,0.9331962560774487,0.9311594202898551
27,0.9239130434782609,0.9238082544759872,0.9237303237303237,0.9239130434782609
28,0.9420289855072463,0.9425925925925926,0.9448484848484847,0.9420289855072463
29,0.9202898550724637,0.921838768115942,0.9314753022873281,0.9202898550724637
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,0.9456521739130435,0.9458707018830227,0.9463345396509133,0.9456521739130435
33,0.927536231884058,0.9286993742294181,0.9348588863463004,0.927536231884058
34,0.9456521739130435,0.946134600284798,0.9479290250540859,0.9456521739130435
35,0.9456521739130435,0.9458647718115889,0.9463216051177669,0.9456521739130435
36,0.9492753623188406,0.9496559077251139,0.9510051211495834,0.9492753623188406
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,0.9456521739130435,0.9460065037439526,0.9470360305958132,0.9456521739130435
40,0.9384057971014492,0.9390698591847435,0.9418576143328617,0.9384057971014492
41,0.927536231884058,0.9282895913966345,0.9353364620649011,0.927536231884058
42,0.9456521739130435,0.946134600284798,0.9479290250540859,0.9456521739130435
43,0.9456521739130435,0.9458647718115889,0.9463216051177669,0.9456521739130435
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,0.9528985507246377,0.9526932618582946,0.9527434964819331,0.9528985507246377
47,0.9601449275362319,0.9601998170136133,0.9602827662255828,0.9601449275362319
48,0.9528985507246377,0.9533166535801582,0.9550590876311442,0.9528985507246377
49,0.9021739130434783,0.9043478260869566,0.9192546583850932,0.9021739130434783
