,Iteration,Loss,Gap
0,0.0,1.3322512457257416,7.5724992752075195
1,1.0,0.4855410217876889,3.172504186630249
2,2.0,0.3097352379917506,2.5128984451293945
3,3.0,0.23130894369487057,1.9769842624664307
4,4.0,0.19992863938841599,1.7695176601409912
5,5.0,0.15927729338395466,1.5362234115600586
6,6.0,0.13401459061515703,1.3335210084915161
7,7.0,0.13389684043619388,1.3758877515792847
8,8.0,0.1074966725668665,1.057661533355713
9,9.0,0.10276144194985222,1.0484977960586548
10,10.0,0.09077859319806315,0.9511674642562866
11,11.0,0.07897046040805994,0.7942266464233398
12,12.0,0.08357151314731757,0.811314046382904
13,13.0,0.07976110614173446,0.8213053941726685
14,14.0,0.06367029481885486,0.5847597122192383
15,15.0,0.05972561567719223,0.5788195133209229
16,16.0,0.06706944484013613,0.7015367746353149
17,17.0,0.05947765404708828,0.6055869460105896
18,18.0,0.057914185983601395,0.5867090225219727
19,19.0,0.05567992231371777,0.5709094405174255
20,20.0,0.05485807482369224,0.5767703056335449
21,21.0,0.05251621036891879,0.5613108277320862
22,22.0,0.05284323975800617,0.600438117980957
23,23.0,0.05453207990448997,0.6342838406562805
24,24.0,0.05091063935540327,0.5555540919303894
25,25.0,0.04455966916412559,0.4490880072116852
26,26.0,0.04892725423159157,0.5576360821723938
27,27.0,0.04762768050696177,0.5555940866470337
28,28.0,0.04788569824771384,0.563827395439148
29,29.0,0.04096418734882612,0.4112356901168823
30,30.0,0.04389658208519853,0.4590069651603699
31,31.0,0.051571975867951494,0.6468971371650696
32,32.0,0.05631196675860872,0.7728328108787537
33,33.0,0.04302923827709255,0.5039237141609192
34,34.0,0.04672586003228804,0.6043002605438232
35,35.0,0.03946588035515172,0.45062845945358276
36,36.0,0.0475786943063949,0.6142551898956299
37,37.0,0.05314399724560032,0.8117751479148865
38,38.0,0.05096731517108759,0.7185549139976501
39,39.0,0.04659145898687052,0.6480924487113953
40,40.0,0.05031325559906684,0.7304444313049316
41,41.0,0.047940460654578555,0.6530954837799072
42,42.0,0.04996006436762024,0.7830744385719299
43,43.0,0.04575415204139039,0.6689527630805969
44,44.0,0.05248426826166264,0.8276806473731995
45,45.0,0.05610450333140983,0.964661180973053
46,46.0,0.047448616645347524,0.7497028112411499
47,47.0,0.05181842116909506,0.8599010109901428
48,48.0,0.05501131332840283,0.9477412700653076
49,49.0,0.04775724173097419,0.7922034859657288
50,50.0,0.04197130659193811,0.6009538173675537
51,51.0,0.0459509955787112,0.7695190906524658
52,52.0,0.04558026881518605,0.7475592494010925
53,53.0,0.047789574952476765,0.8418758511543274
54,54.0,0.05305582541229364,1.021262288093567
55,55.0,0.05018724372344481,0.9066528081893921
56,56.0,0.04824350298595214,0.8759910464286804
57,57.0,0.049788795171278426,0.9239346385002136
58,58.0,0.05135737264863699,0.9914082288742065
59,59.0,0.0484319893958937,0.9009386301040649
60,60.0,0.04871469513146956,0.9504087567329407
61,61.0,0.0494449900177511,0.9788774251937866
62,62.0,0.04873026189332537,0.9643409252166748
63,63.0,0.04656663522048545,0.916904866695404
64,64.0,0.04711931211918648,0.944675087928772
65,65.0,0.04647212217256553,0.9379955530166626
66,66.0,0.04646434118010856,0.9471228122711182
67,67.0,0.045291975131991076,0.9062506556510925
68,68.0,0.04404197765516729,0.8907129168510437
69,69.0,0.04441544507283883,0.8619064092636108
70,70.0,0.042424433192279315,0.8744370937347412
71,71.0,0.04297963520322083,0.9094141125679016
72,72.0,0.04290568025529539,0.8783917427062988
73,73.0,0.04190887591768284,0.8721182942390442
74,74.0,0.04082742715304456,0.8601641654968262
75,75.0,0.04057421347418156,0.8761893510818481
76,76.0,0.036091575660599076,0.7223011255264282
77,77.0,0.03984582071355189,0.8520846366882324
78,78.0,0.03976766524639849,0.8575190305709839
79,79.0,0.03947135517791679,0.8553440570831299
80,80.0,0.040674512209200736,0.8869361877441406
81,81.0,0.039360309600658575,0.8613254427909851
82,82.0,0.03830593115891233,0.8407187461853027
83,83.0,0.03780987194755744,0.8282670974731445
84,84.0,0.036858642972818455,0.8325145840644836
85,85.0,0.037709884090321534,0.8301638960838318
86,86.0,0.03962153011638488,0.8621381521224976
87,87.0,0.03810214416921512,0.8611778616905212
88,88.0,0.03592591470803238,0.8085206151008606
89,89.0,0.03600426676023638,0.8320522308349609
90,90.0,0.03617734144944349,0.851154088973999
91,91.0,0.035874551449638324,0.8144602179527283
92,92.0,0.03462130300739774,0.8155353665351868
93,93.0,0.034262789277308844,0.7910459637641907
94,94.0,0.0346658040443984,0.8007135391235352
95,95.0,0.034170102773576606,0.7974342703819275
96,96.0,0.03395589346086237,0.796086847782135
97,97.0,0.032886725421269754,0.7849354147911072
98,98.0,0.03451676169822321,0.8102517127990723
99,99.0,0.03443818026309008,0.8272483944892883
100,100.0,0.03471806521898449,0.8341953754425049
101,101.0,0.03408023592589471,0.8276320099830627
102,102.0,0.033484441338627956,0.8084437847137451
103,103.0,0.03217507736105816,0.7937066555023193
104,104.0,0.03225207697764098,0.7876480221748352
105,105.0,0.032237650891209696,0.7581628561019897
106,106.0,0.031033222238419585,0.7601391673088074
107,107.0,0.03105316636258114,0.7841529250144958
108,108.0,0.031211620966768085,0.7820531725883484
109,109.0,0.03130820880155767,0.7607486844062805
110,110.0,0.03179107122372857,0.7763182520866394
111,111.0,0.031095252182641864,0.777299165725708
112,112.0,0.029516007070729378,0.717894434928894
113,113.0,0.030542905720005887,0.7747398018836975
114,114.0,0.030132291190536127,0.7795339226722717
115,115.0,0.02887203374822915,0.7260036468505859
