,Test Acc,Test F1,Test Precision,Test Recall
0,0.9601449275362319,0.9631760709381407,0.971993732863298,0.9601449275362319
1,0.927536231884058,0.9284749670619236,0.933075970338915,0.927536231884058
2,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0
4,0.8188405797101449,0.8235647801099453,0.8696702373450955,0.8188405797101449
5,0.6666666666666666,0.6618265993265993,0.8280701754385965,0.6666666666666666
6,0.26811594202898553,0.11337474120082816,0.07188615837009033,0.26811594202898553
7,0.2644927536231884,0.14779311771569068,0.8216120484533853,0.2644927536231884
8,0.3442028985507246,0.20201114749969826,0.7838298443370907,0.3442028985507246
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0
12,0.9528985507246377,0.9532554439087129,0.9557035234560419,0.9528985507246377
13,0.5217391304347826,0.3616926807609549,0.751304347826087,0.5217391304347826
14,0.6884057971014492,0.6777262572284717,0.825125702454895,0.6884057971014492
15,0.5181159420289855,0.4225232129697863,0.77044105899806,0.5181159420289855
16,0.8478260869565217,0.9176470588235294,1.0,0.8478260869565217
17,1.0,1.0,1.0,1.0
18,0.9239130434782609,0.9240783388374542,0.9271784800876872,0.9239130434782609
19,0.8623188405797102,0.8613548187738193,0.894220572640509,0.8623188405797102
20,0.7681159420289855,0.7653814314216938,0.851961025137149,0.7681159420289855
21,0.5253623188405797,0.5476136141639308,0.8526125095347062,0.5253623188405797
22,0.47101449275362317,0.3771563003220612,0.7762788566191212,0.47101449275362317
23,0.4927536231884058,0.4318829359306964,0.7898853920320175,0.4927536231884058
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,0.9420289855072463,0.9415434545869329,0.9420657780394136,0.9420289855072463
27,0.927536231884058,0.9283426254686387,0.9317087319488735,0.927536231884058
28,0.9239130434782609,0.9253098088636841,0.9356748820334391,0.9239130434782609
29,0.5869565217391305,0.6031718974949613,0.8456760630673674,0.5869565217391305
30,0.8623188405797102,0.9260700389105059,1.0,0.8623188405797102
31,1.0,1.0,1.0,1.0
32,0.9347826086956522,0.935738269479122,0.9416935050993022,0.9347826086956522
33,0.8007246376811594,0.8074356700001156,0.8728452164776556,0.8007246376811594
34,0.9130434782608695,0.9148964918206822,0.9307295504789979,0.9130434782608695
35,0.9202898550724637,0.9219013717869552,0.9354072963518241,0.9202898550724637
36,0.9384057971014492,0.9394509113616385,0.9478391434913173,0.9384057971014492
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,0.9166666666666666,0.9179546534550982,0.924838396601293,0.9166666666666666
40,0.8913043478260869,0.8938204508856683,0.914760577982246,0.8913043478260869
41,0.7355072463768116,0.7316940040861585,0.841594999203695,0.7355072463768116
42,0.927536231884058,0.9289135620025408,0.9402491736587846,0.927536231884058
43,0.9565217391304348,0.9570849802371543,0.9614438063986874,0.9565217391304348
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,0.9420289855072463,0.9421739551858267,0.9424265297906602,0.9420289855072463
47,0.9420289855072463,0.9428784617592193,0.9487721417069243,0.9420289855072463
48,0.9311594202898551,0.9324231604004759,0.9427343850198794,0.9311594202898551
49,0.605072463768116,0.6078988942450155,0.8316361556064074,0.605072463768116
