,Floor7Z1,Floor7Z2,Floor7Z4,Floor7Z5
Low Power,"[0, 30]","[0, 25]","[0, 25]","[0, 15]"
High Power,"[30, 100]","[25, 100]","[25, 100]","[15, 100]"
