,Iteration,Loss,Gap,Local Gaps
0,0.0,5.607337474822998,0.051348231732845306,0.051348231732845306
1,1.0,2.1919965744018555,0.03412593901157379,0.016956396400928497
2,2.0,0.7785393595695496,0.015677714720368385,0.013043913058936596
3,3.0,0.09830054640769958,0.006156270857900381,0.008947368711233139
4,4.0,0.5073673725128174,0.004838401917368174,0.018035737797617912
5,5.0,0.18941596150398254,0.0013104345416650176,0.003065091324970126
6,6.0,0.03395905718207359,0.0007070428691804409,0.003701426787301898
7,7.0,0.296386182308197,0.0009164356742985547,0.006712852045893669
8,8.0,0.007608836982399225,0.0005558441625908017,0.004093696363270283
9,9.0,0.008449051529169083,0.0003908439539372921,0.0033888481557369232
10,10.0,0.03223615884780884,0.0005152923404239118,0.0052913217805325985
11,11.0,0.02520396187901497,0.0006361317355185747,0.007140100467950106
12,12.0,0.015945974737405777,0.0004717084229923785,0.0054960777051746845
13,13.0,0.0075926207937300205,8.488657476846129e-05,0.0007474197191186249
14,14.0,0.030255218967795372,9.79838878265582e-05,0.0013848717790096998
15,15.0,0.010131953284144402,9.378881077282131e-05,0.0014205980114638805
16,16.0,0.04457525908946991,4.719754360849038e-05,0.0007158841472119093
17,17.0,0.002616140292957425,9.85564838629216e-05,0.0017268190858885646
18,18.0,0.003187800059095025,8.53661258588545e-05,0.0015233998419716954
19,19.0,0.005844873376190662,1.628068639547564e-05,0.00024024760932661593
20,20.0,0.062007077038288116,0.00022578595962841064,0.004728714469820261
21,21.0,0.004268366377800703,4.776383502758108e-05,0.0008266781806014478
22,22.0,0.011207327246665955,4.186342630418949e-05,0.0009153532446362078
23,23.0,0.003203829750418663,4.78413567179814e-05,0.0011120662093162537
24,24.0,0.0015138245653361082,2.522746399336029e-05,0.0005830277223140001
25,25.0,0.033220820128917694,2.6922942197415978e-05,0.0006778151728212833
26,26.0,0.0016101750079542398,1.4526133782055695e-05,0.00037391899968497455
27,27.0,0.004546507727354765,2.3667291316087358e-05,0.000648749468382448
28,28.0,0.02229839563369751,2.060028418782167e-05,0.0005737409228459001
29,29.0,0.025289686396718025,6.426269101211801e-05,0.0019198457011952996
30,30.0,0.017098283395171165,3.7239889934426174e-05,0.001090173958800733
31,31.0,0.014106936752796173,3.345340519445017e-05,0.0010492216097190976
32,32.0,0.005407295189797878,6.623426452279091e-05,0.0021655182354152203
33,33.0,0.033704258501529694,4.336413985583931e-05,0.0014091802295297384
34,34.0,0.00944141298532486,6.812812353018671e-05,0.0023411200381815434
35,35.0,0.011672955006361008,1.3108769053360447e-05,0.00040378759149461985
36,36.0,0.008207748644053936,2.466486876073759e-05,0.000907380657736212
37,37.0,0.014851566404104233,5.159843203728087e-05,0.0019389032386243343
38,38.0,0.02002333104610443,3.851641304208897e-05,0.001461350591853261
39,39.0,0.030263811349868774,5.737691026297398e-05,0.0022565599065274
40,40.0,0.0042124344035983086,1.227152915816987e-05,0.00045130326179787517
41,41.0,0.13594071567058563,5.885744030820206e-05,0.0024597409646958113
42,42.0,0.01062391884624958,8.57721533975564e-05,0.0036383650731295347
43,43.0,0.012187797576189041,2.504609255993273e-05,0.0010219578398391604
44,44.0,0.02683107741177082,9.599741133570205e-06,0.00040740356780588627
45,45.0,0.0057243346236646175,2.787745324894786e-05,0.0012754476629197598
46,46.0,0.003978600259870291,1.5087518477230333e-05,0.0006978592718951404
47,47.0,0.013608640059828758,8.958298167272005e-06,0.00041491081356070936
48,48.0,0.004482701420783997,2.4721079171285965e-05,0.0012054946273565292
49,49.0,0.004666763823479414,8.903409252525307e-06,0.0004204493889119476
50,50.0,0.0046913460828363895,9.869513633020688e-06,0.0004978710203431547
51,51.0,0.017819512635469437,6.344067969621392e-06,0.0003238255449105054
52,52.0,0.018241723999381065,3.3930893550859764e-05,0.0017919932724907994
53,53.0,0.005502563901245594,1.4534695765178185e-05,0.0007509426795877516
54,54.0,0.007826951332390308,2.101998143189121e-05,0.0011454916093498468
55,55.0,0.017464328557252884,7.181799901445629e-06,0.0003820196143351495
56,56.0,0.014715156517922878,1.0471725545357913e-05,0.0005897065857425332
57,57.0,0.010125246830284595,1.140818767453311e-05,0.0006512031541205943
58,58.0,0.010050542652606964,2.0642182789742947e-05,0.001215790631249547
59,59.0,0.006546631455421448,9.043342288350686e-06,0.0005241776816546917
60,60.0,0.010093574412167072,2.569668686192017e-05,0.0015584544744342566
61,61.0,0.012002529576420784,4.381435428513214e-05,0.002691779751330614
62,62.0,0.004242651630192995,5.063864591647871e-06,0.000290753785520792
63,63.0,0.009845035150647163,1.7419859432266094e-05,0.001109807169996202
